Month,Year,Department,Total_Count,Nationality
Apr,2022,FMT,2,Expat,
Apr,2022,FMT,2,Omani,
Apr,2022,Labour,25,Expat,
Apr,2022,PMV,1,Omani,
Apr,2022,PROJECTS,1,Expat,
May,2022,ADMINISTRATION,1,Expat,
May,2022,AFW,1,Expat,
May,2022,FMT,2,Omani,
May,2022,HSE,1,Omani,
May,2022,Labour,3,Expat,
May,2022,MAS,1,Omani,
May,2022,MEDICAL,1,Expat,
May,2022,MEDICAL,1,Omani,
May,2022,OPERATIONS,1,Omani,
May,2022,PHARMACY,1,Omani,
May,2022,PROJECTS,2,Omani,
Jun,2022,ADMINISTRATION,3,Omani,
Jun,2022,AUDIT,1,Omani,
Jun,2022,FMT,1,Expat,
Jun,2022,FMT,3,Omani,
Jun,2022,INSIGHT,1,Omani,
Jun,2022,LABORATORY,1,Expat,
Jun,2022,Labour,21,Expat,
Jun,2022,MEDICAL,1,Expat,
Jun,2022,OPERATIONS,2,Omani,
Jun,2022,PHARMACY,1,Expat,
Jun,2022,PMV,1,Omani,
Jun,2022,PROJECTS,2,Omani,
Jul,2022,ADMINISTRATION,4,Omani,
Jul,2022,FMT,1,Omani,
Jul,2022,Labour,25,Expat,
Jul,2022,PMV,3,Expat,
Jul,2022,PMV,2,Omani,
Jul,2022,PROJECTS,1,Omani,
Jul,2022,RADIOLOGY,1,Expat,
Jul,2022,"TRAINING, WELFARE & DEVELOPMENT",1,Expat,
Jul,2022,TRANSPORT,1,Expat,
Aug,2022,ADMINISTRATION,1,Omani,
Aug,2022,DESIGN & BUILD,1,Expat,
Aug,2022,FABRICATION,1,Expat,
Aug,2022,FMT,3,Omani,
Aug,2022,Labour,7,Expat,
Aug,2022,MAINTENANCE,1,Expat,
Aug,2022,MEDICAL,1,Omani,
Aug,2022,PMV,2,Expat,
Aug,2022,PMV,1,Omani,
Aug,2022,PROJECTS,8,Expat,
Aug,2022,QUALITY ASSURANCE & QUALITY CONTROL,1,Expat,
Sep,2022,ADMINISTRATION,2,Omani,
Sep,2022,CAD,1,Omani,
Sep,2022,CONTRACTS,1,Omani,
Sep,2022,DESIGN & BUILD,1,Omani,
Sep,2022,FINANCE,1,Omani,
Sep,2022,FMT,4,Expat,
Sep,2022,FMT,2,Omani,
Sep,2022,Labour,10,Expat,
Sep,2022,MARKETING,1,Omani,
Sep,2022,MEDICAL,1,Expat,
Sep,2022,MEDICAL,1,Omani,
Sep,2022,NURSING,1,Expat,
Sep,2022,PHARMACY,2,Expat,
Sep,2022,PMV,1,Expat,
Sep,2022,PMV,2,Omani,
Sep,2022,PROJECTS,2,Expat,
Sep,2022,SITE,2,Expat,
Sep,2022,SITE,1,Omani,
Sep,2022,STORES,1,Expat,
Sep,2022,TRUFUD,1,Expat,
Oct,2022,FINANCE,1,Omani,
Oct,2022,FMT,2,Expat,
Oct,2022,FMT,1,Omani,
Oct,2022,IT,1,Expat,
Oct,2022,Labour,17,Expat,
Oct,2022,MEDICAL,1,Omani,
Oct,2022,PHARMACY,1,Expat,
Oct,2022,PROJECTS,4,Expat,
Oct,2022,TRUFUD,1,Expat,
Nov,2022,ADMINISTRATION,3,Omani,
Nov,2022,CAD,1,Omani,
Nov,2022,FMT,3,Expat,
Nov,2022,FMT,2,Omani,
Nov,2022,HOTEL,2,Expat,
Nov,2022,Labour,22,Expat,
Nov,2022,MEDICAL,2,Expat,
Nov,2022,MEDICAL,1,Omani,
Nov,2022,PMV,1,Omani,
Nov,2022,PURCHASE,1,Omani,
Nov,2022,SITE,1,Omani,
Dec,2022,ADMINISTRATION,1,Omani,
Dec,2022,GENERAL PRACTICE,1,Expat,
Dec,2022,HOTEL,5,Expat,
Dec,2022,Labour,51,Expat,
Dec,2022,PHARMACY,1,Expat,
Dec,2022,PMV,1,Omani,
Dec,2022,POST TENSION,1,Expat,
Dec,2022,TRUFUD,1,Expat,
Jan,2023,CAD,1,Omani,
Jan,2023,DESIGN & BUILD,2,Expat,
Jan,2023,FMT,2,Expat,
