COMPANY,NATIONALITY,YEAR,MONTH,MM,STRENGTH
ADRAK INTERNATIONAL MEDICAL SUPPLIES PHARMACY AND STORES LLC,EGYPTION,2024,DECEMBER ,12,1
ADRAK INTERNATIONAL MEDICAL SUPPLIES PHARMACY AND STORES LLC,INDIAN,2024,DECEMBER ,12,18
ADRAK INTERNATIONAL MEDICAL SUPPLIES PHARMACY AND STORES LLC,OMANI,2024,DECEMBER ,12,7
ADRAK INTERNATIONAL MEDICAL SUPPLIES PHARMACY AND STORES LLC,SUDANI,2024,DECEMBER ,12,3
ADRAK INTERNATIONAL MEDICAL SUPPLIES PHARMACY AND STORES LLC,TUNISIAN,2024,DECEMBER ,12,1
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,BANGLADESH,2024,DECEMBER ,12,6
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,EGYPTION,2024,DECEMBER ,12,2
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,INDIAN,2024,DECEMBER ,12,104
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,IRAN,2024,DECEMBER ,12,10
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,IRAQ,2024,DECEMBER ,12,1
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,NEPAL,2024,DECEMBER ,12,5
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,OMANI,2024,DECEMBER ,12,60
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,PAKISTAN,2024,DECEMBER ,12,2
